Rank,Num Ways (5 cards),Sample,Abbrev,Description
1,4,   A K Q J T,   SF,   Royal Flush              
2,4,   K Q J T 9,   SF,   King-High Straight Flush 
3,4,   Q J T 9 8,   SF,   Queen-High Straight Flush
4,4,   J T 9 8 7,   SF,   Jack-High Straight Flush 
5,4,   T 9 8 7 6,   SF,"   Ten-High Straight Flush	 "
6,4,   9 8 7 6 5,   SF,   Nine-High Straight Flush 
7,4,   8 7 6 5 4,   SF,   Eight-High Straight Flush
8,4,   7 6 5 4 3,   SF,   Seven-High Straight Flush
9,4,   6 5 4 3 2,   SF,"   Six-High Straight Flush	 "
10,4,   5 4 3 2 A,   SF,   Five-High Straight Flush 
11,4,   A A A A K,   4K,"   Four Aces				 "
12,4,   A A A A Q,   4K,"   Four Aces				 "
13,4,   A A A A J,   4K,"   Four Aces				 "
14,4,   A A A A T,   4K,"   Four Aces				 "
15,4,   A A A A 9,   4K,"   Four Aces				 "
16,4,   A A A A 8,   4K,"   Four Aces				 "
17,4,   A A A A 7,   4K,"   Four Aces				 "
18,4,   A A A A 6,   4K,"   Four Aces				 "
19,4,   A A A A 5,   4K,"   Four Aces				 "
20,4,   A A A A 4,   4K,"   Four Aces				 "
21,4,   A A A A 3,   4K,"   Four Aces				 "
22,4,   A A A A 2,   4K,"   Four Aces				 "
23,4,   K K K K A,   4K,"   Four Kings				 "
24,4,   K K K K Q,   4K,"   Four Kings				 "
25,4,   K K K K J,   4K,"   Four Kings				 "
26,4,   K K K K T,   4K,"   Four Kings				 "
27,4,   K K K K 9,   4K,"   Four Kings				 "
28,4,   K K K K 8,   4K,"   Four Kings				 "
29,4,   K K K K 7,   4K,"   Four Kings				 "
30,4,   K K K K 6,   4K,"   Four Kings				 "
31,4,   K K K K 5,   4K,"   Four Kings				 "
32,4,   K K K K 4,   4K,"   Four Kings				 "
33,4,   K K K K 3,   4K,"   Four Kings				 "
34,4,   K K K K 2,   4K,"   Four Kings				 "
35,4,   Q Q Q Q A,   4K,"   Four Queens				 "
36,4,   Q Q Q Q K,   4K,"   Four Queens				 "
37,4,   Q Q Q Q J,   4K,"   Four Queens				 "
38,4,   Q Q Q Q T,   4K,"   Four Queens				 "
39,4,   Q Q Q Q 9,   4K,"   Four Queens				 "
40,4,   Q Q Q Q 8,   4K,"   Four Queens				 "
41,4,   Q Q Q Q 7,   4K,"   Four Queens				 "
42,4,   Q Q Q Q 6,   4K,"   Four Queens				 "
43,4,   Q Q Q Q 5,   4K,"   Four Queens				 "
44,4,   Q Q Q Q 4,   4K,"   Four Queens				 "
45,4,   Q Q Q Q 3,   4K,"   Four Queens				 "
46,4,   Q Q Q Q 2,   4K,"   Four Queens				 "
47,4,   J J J J A,   4K,"   Four Jacks				 "
48,4,   J J J J K,   4K,"   Four Jacks				 "
49,4,   J J J J Q,   4K,"   Four Jacks				 "
50,4,   J J J J T,   4K,"   Four Jacks				 "
51,4,   J J J J 9,   4K,"   Four Jacks				 "
52,4,   J J J J 8,   4K,"   Four Jacks				 "
53,4,   J J J J 7,   4K,"   Four Jacks				 "
54,4,   J J J J 6,   4K,"   Four Jacks				 "
55,4,   J J J J 5,   4K,"   Four Jacks				 "
56,4,   J J J J 4,   4K,"   Four Jacks				 "
57,4,   J J J J 3,   4K,"   Four Jacks				 "
58,4,   J J J J 2,   4K,"   Four Jacks				 "
59,4,   T T T T A,   4K,"   Four Tens				 "
60,4,   T T T T K,   4K,"   Four Tens				 "
61,4,   T T T T Q,   4K,"   Four Tens				 "
62,4,   T T T T J,   4K,"   Four Tens				 "
63,4,   T T T T 9,   4K,"   Four Tens				 "
64,4,   T T T T 8,   4K,"   Four Tens				 "
65,4,   T T T T 7,   4K,"   Four Tens				 "
66,4,   T T T T 6,   4K,"   Four Tens				 "
67,4,   T T T T 5,   4K,"   Four Tens				 "
68,4,   T T T T 4,   4K,"   Four Tens				 "
69,4,   T T T T 3,   4K,"   Four Tens				 "
70,4,   T T T T 2,   4K,"   Four Tens				 "
71,4,   9 9 9 9 A,   4K,"   Four Nines				 "
72,4,   9 9 9 9 K,   4K,"   Four Nines				 "
73,4,   9 9 9 9 Q,   4K,"   Four Nines				 "
74,4,   9 9 9 9 J,   4K,"   Four Nines				 "
75,4,   9 9 9 9 T,   4K,"   Four Nines				 "
76,4,   9 9 9 9 8,   4K,"   Four Nines				 "
77,4,   9 9 9 9 7,   4K,"   Four Nines				 "
78,4,   9 9 9 9 6,   4K,"   Four Nines				 "
79,4,   9 9 9 9 5,   4K,"   Four Nines				 "
80,4,   9 9 9 9 4,   4K,"   Four Nines				 "
81,4,   9 9 9 9 3,   4K,"   Four Nines				 "
82,4,   9 9 9 9 2,   4K,"   Four Nines				 "
83,4,   8 8 8 8 A,   4K,"   Four Eights				 "
84,4,   8 8 8 8 K,   4K,"   Four Eights				 "
85,4,   8 8 8 8 Q,   4K,"   Four Eights				 "
86,4,   8 8 8 8 J,   4K,"   Four Eights				 "
87,4,   8 8 8 8 T,   4K,"   Four Eights				 "
88,4,   8 8 8 8 9,   4K,"   Four Eights				 "
89,4,   8 8 8 8 7,   4K,"   Four Eights				 "
90,4,   8 8 8 8 6,   4K,"   Four Eights				 "
91,4,   8 8 8 8 5,   4K,"   Four Eights				 "
92,4,   8 8 8 8 4,   4K,"   Four Eights				 "
93,4,   8 8 8 8 3,   4K,"   Four Eights				 "
94,4,   8 8 8 8 2,   4K,"   Four Eights				 "
95,4,   7 7 7 7 A,   4K,"   Four Sevens				 "
96,4,   7 7 7 7 K,   4K,"   Four Sevens				 "
97,4,   7 7 7 7 Q,   4K,"   Four Sevens				 "
98,4,   7 7 7 7 J,   4K,"   Four Sevens				 "
99,4,   7 7 7 7 T,   4K,"   Four Sevens				 "
100,4,   7 7 7 7 9,   4K,"   Four Sevens				 "
101,4,   7 7 7 7 8,   4K,"   Four Sevens				 "
102,4,   7 7 7 7 6,   4K,"   Four Sevens				 "
103,4,   7 7 7 7 5,   4K,"   Four Sevens				 "
104,4,   7 7 7 7 4,   4K,"   Four Sevens				 "
105,4,   7 7 7 7 3,   4K,"   Four Sevens				 "
106,4,   7 7 7 7 2,   4K,"   Four Sevens				 "
107,4,   6 6 6 6 A,   4K,"   Four Sixes				 "
108,4,   6 6 6 6 K,   4K,"   Four Sixes				 "
109,4,   6 6 6 6 Q,   4K,"   Four Sixes				 "
110,4,   6 6 6 6 J,   4K,"   Four Sixes				 "
111,4,   6 6 6 6 T,   4K,"   Four Sixes				 "
112,4,   6 6 6 6 9,   4K,"   Four Sixes				 "
113,4,   6 6 6 6 8,   4K,"   Four Sixes				 "
114,4,   6 6 6 6 7,   4K,"   Four Sixes				 "
115,4,   6 6 6 6 5,   4K,"   Four Sixes				 "
116,4,   6 6 6 6 4,   4K,"   Four Sixes				 "
117,4,   6 6 6 6 3,   4K,"   Four Sixes				 "
118,4,   6 6 6 6 2,   4K,"   Four Sixes				 "
119,4,   5 5 5 5 A,   4K,"   Four Fives				 "
120,4,   5 5 5 5 K,   4K,"   Four Fives				 "
121,4,   5 5 5 5 Q,   4K,"   Four Fives				 "
122,4,   5 5 5 5 J,   4K,"   Four Fives				 "
123,4,   5 5 5 5 T,   4K,"   Four Fives				 "
124,4,   5 5 5 5 9,   4K,"   Four Fives				 "
125,4,   5 5 5 5 8,   4K,"   Four Fives				 "
126,4,   5 5 5 5 7,   4K,"   Four Fives				 "
127,4,   5 5 5 5 6,   4K,"   Four Fives				 "
128,4,   5 5 5 5 4,   4K,"   Four Fives				 "
129,4,   5 5 5 5 3,   4K,"   Four Fives				 "
130,4,   5 5 5 5 2,   4K,"   Four Fives				 "
131,4,   4 4 4 4 A,   4K,"   Four Fours				 "
132,4,   4 4 4 4 K,   4K,"   Four Fours				 "
133,4,   4 4 4 4 Q,   4K,"   Four Fours				 "
134,4,   4 4 4 4 J,   4K,"   Four Fours				 "
135,4,   4 4 4 4 T,   4K,"   Four Fours				 "
136,4,   4 4 4 4 9,   4K,"   Four Fours				 "
137,4,   4 4 4 4 8,   4K,"   Four Fours				 "
138,4,   4 4 4 4 7,   4K,"   Four Fours				 "
139,4,   4 4 4 4 6,   4K,"   Four Fours				 "
140,4,   4 4 4 4 5,   4K,"   Four Fours				 "
141,4,   4 4 4 4 3,   4K,"   Four Fours				 "
142,4,   4 4 4 4 2,   4K,"   Four Fours				 "
143,4,   3 3 3 3 A,   4K,"   Four Treys				 "
144,4,   3 3 3 3 K,   4K,"   Four Treys				 "
145,4,   3 3 3 3 Q,   4K,"   Four Treys				 "
146,4,   3 3 3 3 J,   4K,"   Four Treys				 "
147,4,   3 3 3 3 T,   4K,"   Four Treys				 "
148,4,   3 3 3 3 9,   4K,"   Four Treys				 "
149,4,   3 3 3 3 8,   4K,"   Four Treys				 "
150,4,   3 3 3 3 7,   4K,"   Four Treys				 "
151,4,   3 3 3 3 6,   4K,"   Four Treys				 "
152,4,   3 3 3 3 5,   4K,"   Four Treys				 "
153,4,   3 3 3 3 4,   4K,"   Four Treys				 "
154,4,   3 3 3 3 2,   4K,"   Four Treys				 "
155,4,   2 2 2 2 A,   4K,"   Four Deuces				 "
156,4,   2 2 2 2 K,   4K,"   Four Deuces				 "
157,4,   2 2 2 2 Q,   4K,"   Four Deuces				 "
158,4,   2 2 2 2 J,   4K,"   Four Deuces				 "
159,4,   2 2 2 2 T,   4K,"   Four Deuces				 "
160,4,   2 2 2 2 9,   4K,"   Four Deuces				 "
161,4,   2 2 2 2 8,   4K,"   Four Deuces				 "
162,4,   2 2 2 2 7,   4K,"   Four Deuces				 "
163,4,   2 2 2 2 6,   4K,"   Four Deuces				 "
164,4,   2 2 2 2 5,   4K,"   Four Deuces				 "
165,4,   2 2 2 2 4,   4K,"   Four Deuces				 "
166,4,   2 2 2 2 3,   4K,"   Four Deuces				 "
167,24,   A A A K K,   FH,"   Aces Full over Kings	 "
168,24,   A A A Q Q,   FH,"   Aces Full over Queens	 "
169,24,   A A A J J,   FH,"   Aces Full over Jacks	 "
170,24,   A A A T T,   FH,"   Aces Full over Tens		 "
171,24,   A A A 9 9,   FH,"   Aces Full over Nines	 "
172,24,   A A A 8 8,   FH,"   Aces Full over Eights	 "
173,24,   A A A 7 7,   FH,"   Aces Full over Sevens	 "
174,24,   A A A 6 6,   FH,"   Aces Full over Sixes	 "
175,24,   A A A 5 5,   FH,"   Aces Full over Fives	 "
176,24,   A A A 4 4,   FH,"   Aces Full over Fours	 "
177,24,   A A A 3 3,   FH,"   Aces Full over Treys	 "
178,24,   A A A 2 2,   FH,"   Aces Full over Deuces	 "
179,24,   K K K A A,   FH,"   Kings Full over Aces	 "
180,24,   K K K Q Q,   FH,"   Kings Full over Queens	 "
181,24,   K K K J J,   FH,"   Kings Full over Jacks	 "
182,24,   K K K T T,   FH,"   Kings Full over Tens	 "
183,24,   K K K 9 9,   FH,"   Kings Full over Nines	 "
184,24,   K K K 8 8,   FH,"   Kings Full over Eights	 "
185,24,   K K K 7 7,   FH,"   Kings Full over Sevens	 "
186,24,   K K K 6 6,   FH,"   Kings Full over Sixes	 "
187,24,   K K K 5 5,   FH,"   Kings Full over Fives	 "
188,24,   K K K 4 4,   FH,"   Kings Full over Fours	 "
189,24,   K K K 3 3,   FH,"   Kings Full over Treys	 "
190,24,   K K K 2 2,   FH,"   Kings Full over Deuces	 "
191,24,   Q Q Q A A,   FH,"   Queens Full over Aces	 "
192,24,   Q Q Q K K,   FH,"   Queens Full over Kings	 "
193,24,   Q Q Q J J,   FH,"   Queens Full over Jacks	 "
194,24,   Q Q Q T T,   FH,"   Queens Full over Tens	 "
195,24,   Q Q Q 9 9,   FH,"   Queens Full over Nines	 "
196,24,   Q Q Q 8 8,   FH,"   Queens Full over Eights	 "
197,24,   Q Q Q 7 7,   FH,"   Queens Full over Sevens	 "
198,24,   Q Q Q 6 6,   FH,"   Queens Full over Sixes	 "
199,24,   Q Q Q 5 5,   FH,"   Queens Full over Fives	 "
200,24,   Q Q Q 4 4,   FH,"   Queens Full over Fours	 "
201,24,   Q Q Q 3 3,   FH,"   Queens Full over Treys	 "
202,24,   Q Q Q 2 2,   FH,"   Queens Full over Deuces	 "
203,24,   J J J A A,   FH,"   Jacks Full over Aces	 "
204,24,   J J J K K,   FH,"   Jacks Full over Kings	 "
205,24,   J J J Q Q,   FH,"   Jacks Full over Queens	 "
206,24,   J J J T T,   FH,"   Jacks Full over Tens	 "
207,24,   J J J 9 9,   FH,"   Jacks Full over Nines	 "
208,24,   J J J 8 8,   FH,"   Jacks Full over Eights	 "
209,24,   J J J 7 7,   FH,"   Jacks Full over Sevens	 "
210,24,   J J J 6 6,   FH,"   Jacks Full over Sixes	 "
211,24,   J J J 5 5,   FH,"   Jacks Full over Fives	 "
212,24,   J J J 4 4,   FH,"   Jacks Full over Fours	 "
213,24,   J J J 3 3,   FH,"   Jacks Full over Treys	 "
214,24,   J J J 2 2,   FH,"   Jacks Full over Deuces	 "
215,24,   T T T A A,   FH,"   Tens Full over Aces		 "
216,24,   T T T K K,   FH,"   Tens Full over Kings	 "
217,24,   T T T Q Q,   FH,"   Tens Full over Queens	 "
218,24,   T T T J J,   FH,"   Tens Full over Jacks	 "
219,24,   T T T 9 9,   FH,"   Tens Full over Nines	 "
220,24,   T T T 8 8,   FH,"   Tens Full over Eights	 "
221,24,   T T T 7 7,   FH,"   Tens Full over Sevens	 "
222,24,   T T T 6 6,   FH,"   Tens Full over Sixes	 "
223,24,   T T T 5 5,   FH,"   Tens Full over Fives	 "
224,24,   T T T 4 4,   FH,"   Tens Full over Fours	 "
225,24,   T T T 3 3,   FH,"   Tens Full over Treys	 "
226,24,   T T T 2 2,   FH,"   Tens Full over Deuces	 "
227,24,   9 9 9 A A,   FH,"   Nines Full over Aces	 "
228,24,   9 9 9 K K,   FH,"   Nines Full over Kings	 "
229,24,   9 9 9 Q Q,   FH,"   Nines Full over Queens	 "
230,24,   9 9 9 J J,   FH,"   Nines Full over Jacks	 "
231,24,   9 9 9 T T,   FH,"   Nines Full over Tens	 "
232,24,   9 9 9 8 8,   FH,"   Nines Full over Eights	 "
233,24,   9 9 9 7 7,   FH,"   Nines Full over Sevens	 "
234,24,   9 9 9 6 6,   FH,"   Nines Full over Sixes	 "
235,24,   9 9 9 5 5,   FH,"   Nines Full over Fives	 "
236,24,   9 9 9 4 4,   FH,"   Nines Full over Fours	 "
237,24,   9 9 9 3 3,   FH,"   Nines Full over Treys	 "
238,24,   9 9 9 2 2,   FH,"   Nines Full over Deuces	 "
239,24,   8 8 8 A A,   FH,"   Eights Full over Aces	 "
240,24,   8 8 8 K K,   FH,"   Eights Full over Kings	 "
241,24,   8 8 8 Q Q,   FH,"   Eights Full over Queens	 "
242,24,   8 8 8 J J,   FH,"   Eights Full over Jacks	 "
243,24,   8 8 8 T T,   FH,"   Eights Full over Tens	 "
244,24,   8 8 8 9 9,   FH,"   Eights Full over Nines	 "
245,24,   8 8 8 7 7,   FH,"   Eights Full over Sevens	 "
246,24,   8 8 8 6 6,   FH,"   Eights Full over Sixes	 "
247,24,   8 8 8 5 5,   FH,"   Eights Full over Fives	 "
248,24,   8 8 8 4 4,   FH,"   Eights Full over Fours	 "
249,24,   8 8 8 3 3,   FH,"   Eights Full over Treys	 "
250,24,   8 8 8 2 2,   FH,"   Eights Full over Deuces	 "
251,24,   7 7 7 A A,   FH,"   Sevens Full over Aces	 "
252,24,   7 7 7 K K,   FH,"   Sevens Full over Kings	 "
253,24,   7 7 7 Q Q,   FH,"   Sevens Full over Queens	 "
254,24,   7 7 7 J J,   FH,"   Sevens Full over Jacks	 "
255,24,   7 7 7 T T,   FH,"   Sevens Full over Tens	 "
256,24,   7 7 7 9 9,   FH,"   Sevens Full over Nines	 "
257,24,   7 7 7 8 8,   FH,"   Sevens Full over Eights	 "
258,24,   7 7 7 6 6,   FH,"   Sevens Full over Sixes	 "
259,24,   7 7 7 5 5,   FH,"   Sevens Full over Fives	 "
260,24,   7 7 7 4 4,   FH,"   Sevens Full over Fours	 "
261,24,   7 7 7 3 3,   FH,"   Sevens Full over Treys	 "
262,24,   7 7 7 2 2,   FH,"   Sevens Full over Deuces	 "
263,24,   6 6 6 A A,   FH,"   Sixes Full over Aces	 "
264,24,   6 6 6 K K,   FH,"   Sixes Full over Kings	 "
265,24,   6 6 6 Q Q,   FH,"   Sixes Full over Queens	 "
266,24,   6 6 6 J J,   FH,"   Sixes Full over Jacks	 "
267,24,   6 6 6 T T,   FH,"   Sixes Full over Tens	 "
268,24,   6 6 6 9 9,   FH,"   Sixes Full over Nines	 "
269,24,   6 6 6 8 8,   FH,"   Sixes Full over Eights	 "
270,24,   6 6 6 7 7,   FH,"   Sixes Full over Sevens	 "
271,24,   6 6 6 5 5,   FH,"   Sixes Full over Fives	 "
272,24,   6 6 6 4 4,   FH,"   Sixes Full over Fours	 "
273,24,   6 6 6 3 3,   FH,"   Sixes Full over Treys	 "
274,24,   6 6 6 2 2,   FH,"   Sixes Full over Deuces	 "
275,24,   5 5 5 A A,   FH,"   Fives Full over Aces	 "
276,24,   5 5 5 K K,   FH,"   Fives Full over Kings	 "
277,24,   5 5 5 Q Q,   FH,"   Fives Full over Queens	 "
278,24,   5 5 5 J J,   FH,"   Fives Full over Jacks	 "
279,24,   5 5 5 T T,   FH,"   Fives Full over Tens	 "
280,24,   5 5 5 9 9,   FH,"   Fives Full over Nines	 "
281,24,   5 5 5 8 8,   FH,"   Fives Full over Eights	 "
282,24,   5 5 5 7 7,   FH,"   Fives Full over Sevens	 "
283,24,   5 5 5 6 6,   FH,"   Fives Full over Sixes	 "
284,24,   5 5 5 4 4,   FH,"   Fives Full over Fours	 "
285,24,   5 5 5 3 3,   FH,"   Fives Full over Treys	 "
286,24,   5 5 5 2 2,   FH,"   Fives Full over Deuces	 "
287,24,   4 4 4 A A,   FH,"   Fours Full over Aces	 "
288,24,   4 4 4 K K,   FH,"   Fours Full over Kings	 "
289,24,   4 4 4 Q Q,   FH,"   Fours Full over Queens	 "
290,24,   4 4 4 J J,   FH,"   Fours Full over Jacks	 "
291,24,   4 4 4 T T,   FH,"   Fours Full over Tens	 "
292,24,   4 4 4 9 9,   FH,"   Fours Full over Nines	 "
293,24,   4 4 4 8 8,   FH,"   Fours Full over Eights	 "
294,24,   4 4 4 7 7,   FH,"   Fours Full over Sevens	 "
295,24,   4 4 4 6 6,   FH,"   Fours Full over Sixes	 "
296,24,   4 4 4 5 5,   FH,"   Fours Full over Fives	 "
297,24,   4 4 4 3 3,   FH,"   Fours Full over Treys	 "
298,24,   4 4 4 2 2,   FH,"   Fours Full over Deuces	 "
299,24,   3 3 3 A A,   FH,"   Treys Full over Aces	 "
300,24,   3 3 3 K K,   FH,"   Treys Full over Kings	 "
301,24,   3 3 3 Q Q,   FH,"   Treys Full over Queens	 "
302,24,   3 3 3 J J,   FH,"   Treys Full over Jacks	 "
303,24,   3 3 3 T T,   FH,"   Treys Full over Tens	 "
304,24,   3 3 3 9 9,   FH,"   Treys Full over Nines	 "
305,24,   3 3 3 8 8,   FH,"   Treys Full over Eights	 "
306,24,   3 3 3 7 7,   FH,"   Treys Full over Sevens	 "
307,24,   3 3 3 6 6,   FH,"   Treys Full over Sixes	 "
308,24,   3 3 3 5 5,   FH,"   Treys Full over Fives	 "
309,24,   3 3 3 4 4,   FH,"   Treys Full over Fours	 "
310,24,   3 3 3 2 2,   FH,"   Treys Full over Deuces	 "
311,24,   2 2 2 A A,   FH,"   Deuces Full over Aces	 "
312,24,   2 2 2 K K,   FH,"   Deuces Full over Kings	 "
313,24,   2 2 2 Q Q,   FH,"   Deuces Full over Queens	 "
314,24,   2 2 2 J J,   FH,"   Deuces Full over Jacks	 "
315,24,   2 2 2 T T,   FH,"   Deuces Full over Tens	 "
316,24,   2 2 2 9 9,   FH,"   Deuces Full over Nines	 "
317,24,   2 2 2 8 8,   FH,"   Deuces Full over Eights	 "
318,24,   2 2 2 7 7,   FH,"   Deuces Full over Sevens	 "
319,24,   2 2 2 6 6,   FH,"   Deuces Full over Sixes	 "
320,24,   2 2 2 5 5,   FH,"   Deuces Full over Fives	 "
321,24,   2 2 2 4 4,   FH,"   Deuces Full over Fours	 "
322,24,   2 2 2 3 3,   FH,"   Deuces Full over Treys	 "
323,4,   A K Q J 9,   F ,"  Ace-High Flush			 "
324,4,   A K Q J 8,   F ,"  Ace-High Flush			 "
325,4,   A K Q J 7,   F ,"  Ace-High Flush			 "
326,4,   A K Q J 6,   F ,"  Ace-High Flush			 "
327,4,   A K Q J 5,   F ,"  Ace-High Flush			 "
328,4,   A K Q J 4,   F ,"  Ace-High Flush			 "
329,4,   A K Q J 3,   F ,"  Ace-High Flush			 "
330,4,   A K Q J 2,   F ,"  Ace-High Flush			 "
331,4,   A K Q T 9,   F ,"  Ace-High Flush			 "
332,4,   A K Q T 8,   F ,"  Ace-High Flush			 "
333,4,   A K Q T 7,   F ,"  Ace-High Flush			 "
334,4,   A K Q T 6,   F ,"  Ace-High Flush			 "
335,4,   A K Q T 5,   F ,"  Ace-High Flush			 "
336,4,   A K Q T 4,   F ,"  Ace-High Flush			 "
337,4,   A K Q T 3,   F ,"  Ace-High Flush			 "
338,4,   A K Q T 2,   F ,"  Ace-High Flush			 "
339,4,   A K Q 9 8,   F ,"  Ace-High Flush			 "
340,4,   A K Q 9 7,   F ,"  Ace-High Flush			 "
341,4,   A K Q 9 6,   F ,"  Ace-High Flush			 "
342,4,   A K Q 9 5,   F ,"  Ace-High Flush			 "
343,4,   A K Q 9 4,   F ,"  Ace-High Flush			 "
344,4,   A K Q 9 3,   F ,"  Ace-High Flush			 "
345,4,   A K Q 9 2,   F ,"  Ace-High Flush			 "
346,4,   A K Q 8 7,   F ,"  Ace-High Flush			 "
347,4,   A K Q 8 6,   F ,"  Ace-High Flush			 "
348,4,   A K Q 8 5,   F ,"  Ace-High Flush			 "
349,4,   A K Q 8 4,   F ,"  Ace-High Flush			 "
350,4,   A K Q 8 3,   F ,"  Ace-High Flush			 "
351,4,   A K Q 8 2,   F ,"  Ace-High Flush			 "
352,4,   A K Q 7 6,   F ,"  Ace-High Flush			 "
353,4,   A K Q 7 5,   F ,"  Ace-High Flush			 "
354,4,   A K Q 7 4,   F ,"  Ace-High Flush			 "
355,4,   A K Q 7 3,   F ,"  Ace-High Flush			 "
356,4,   A K Q 7 2,   F ,"  Ace-High Flush			 "
357,4,   A K Q 6 5,   F ,"  Ace-High Flush			 "
358,4,   A K Q 6 4,   F ,"  Ace-High Flush			 "
359,4,   A K Q 6 3,   F ,"  Ace-High Flush			 "
360,4,   A K Q 6 2,   F ,"  Ace-High Flush			 "
361,4,   A K Q 5 4,   F ,"  Ace-High Flush			 "
362,4,   A K Q 5 3,   F ,"  Ace-High Flush			 "
363,4,   A K Q 5 2,   F ,"  Ace-High Flush			 "
364,4,   A K Q 4 3,   F ,"  Ace-High Flush			 "
365,4,   A K Q 4 2,   F ,"  Ace-High Flush			 "
366,4,   A K Q 3 2,   F ,"  Ace-High Flush			 "
367,4,   A K J T 9,   F ,"  Ace-High Flush			 "
368,4,   A K J T 8,   F ,"  Ace-High Flush			 "
369,4,   A K J T 7,   F ,"  Ace-High Flush			 "
370,4,   A K J T 6,   F ,"  Ace-High Flush			 "
371,4,   A K J T 5,   F ,"  Ace-High Flush			 "
372,4,   A K J T 4,   F ,"  Ace-High Flush			 "
373,4,   A K J T 3,   F ,"  Ace-High Flush			 "
374,4,   A K J T 2,   F ,"  Ace-High Flush			 "
375,4,   A K J 9 8,   F ,"  Ace-High Flush			 "
376,4,   A K J 9 7,   F ,"  Ace-High Flush			 "
377,4,   A K J 9 6,   F ,"  Ace-High Flush			 "
378,4,   A K J 9 5,   F ,"  Ace-High Flush			 "
379,4,   A K J 9 4,   F ,"  Ace-High Flush			 "
380,4,   A K J 9 3,   F ,"  Ace-High Flush			 "
381,4,   A K J 9 2,   F ,"  Ace-High Flush			 "
382,4,   A K J 8 7,   F ,"  Ace-High Flush			 "
383,4,   A K J 8 6,   F ,"  Ace-High Flush			 "
384,4,   A K J 8 5,   F ,"  Ace-High Flush			 "
385,4,   A K J 8 4,   F ,"  Ace-High Flush			 "
386,4,   A K J 8 3,   F ,"  Ace-High Flush			 "
387,4,   A K J 8 2,   F ,"  Ace-High Flush			 "
388,4,   A K J 7 6,   F ,"  Ace-High Flush			 "
389,4,   A K J 7 5,   F ,"  Ace-High Flush			 "
390,4,   A K J 7 4,   F ,"  Ace-High Flush			 "
391,4,   A K J 7 3,   F ,"  Ace-High Flush			 "
392,4,   A K J 7 2,   F ,"  Ace-High Flush			 "
393,4,   A K J 6 5,   F ,"  Ace-High Flush			 "
394,4,   A K J 6 4,   F ,"  Ace-High Flush			 "
395,4,   A K J 6 3,   F ,"  Ace-High Flush			 "
396,4,   A K J 6 2,   F ,"  Ace-High Flush			 "
397,4,   A K J 5 4,   F ,"  Ace-High Flush			 "
398,4,   A K J 5 3,   F ,"  Ace-High Flush			 "
399,4,   A K J 5 2,   F ,"  Ace-High Flush			 "
400,4,   A K J 4 3,   F ,"  Ace-High Flush			 "
401,4,   A K J 4 2,   F ,"  Ace-High Flush			 "
402,4,   A K J 3 2,   F ,"  Ace-High Flush			 "
403,4,   A K T 9 8,   F ,"  Ace-High Flush			 "
404,4,   A K T 9 7,   F ,"  Ace-High Flush			 "
405,4,   A K T 9 6,   F ,"  Ace-High Flush			 "
406,4,   A K T 9 5,   F ,"  Ace-High Flush			 "
407,4,   A K T 9 4,   F ,"  Ace-High Flush			 "
408,4,   A K T 9 3,   F ,"  Ace-High Flush			 "
409,4,   A K T 9 2,   F ,"  Ace-High Flush			 "
410,4,   A K T 8 7,   F ,"  Ace-High Flush			 "
411,4,   A K T 8 6,   F ,"  Ace-High Flush			 "
412,4,   A K T 8 5,   F ,"  Ace-High Flush			 "
413,4,   A K T 8 4,   F ,"  Ace-High Flush			 "
414,4,   A K T 8 3,   F ,"  Ace-High Flush			 "
415,4,   A K T 8 2,   F ,"  Ace-High Flush			 "
416,4,   A K T 7 6,   F ,"  Ace-High Flush			 "
417,4,   A K T 7 5,   F ,"  Ace-High Flush			 "
418,4,   A K T 7 4,   F ,"  Ace-High Flush			 "
419,4,   A K T 7 3,   F ,"  Ace-High Flush			 "
420,4,   A K T 7 2,   F ,"  Ace-High Flush			 "
421,4,   A K T 6 5,   F ,"  Ace-High Flush			 "
422,4,   A K T 6 4,   F ,"  Ace-High Flush			 "
423,4,   A K T 6 3,   F ,"  Ace-High Flush			 "
424,4,   A K T 6 2,   F ,"  Ace-High Flush			 "
425,4,   A K T 5 4,   F ,"  Ace-High Flush			 "
426,4,   A K T 5 3,   F ,"  Ace-High Flush			 "
427,4,   A K T 5 2,   F ,"  Ace-High Flush			 "
428,4,   A K T 4 3,   F ,"  Ace-High Flush			 "
429,4,   A K T 4 2,   F ,"  Ace-High Flush			 "
430,4,   A K T 3 2,   F ,"  Ace-High Flush			 "
431,4,   A K 9 8 7,   F ,"  Ace-High Flush			 "
432,4,   A K 9 8 6,   F ,"  Ace-High Flush			 "
433,4,   A K 9 8 5,   F ,"  Ace-High Flush			 "
434,4,   A K 9 8 4,   F ,"  Ace-High Flush			 "
435,4,   A K 9 8 3,   F ,"  Ace-High Flush			 "
436,4,   A K 9 8 2,   F ,"  Ace-High Flush			 "
437,4,   A K 9 7 6,   F ,"  Ace-High Flush			 "
438,4,   A K 9 7 5,   F ,"  Ace-High Flush			 "
439,4,   A K 9 7 4,   F ,"  Ace-High Flush			 "
440,4,   A K 9 7 3,   F ,"  Ace-High Flush			 "
441,4,   A K 9 7 2,   F ,"  Ace-High Flush			 "
442,4,   A K 9 6 5,   F ,"  Ace-High Flush			 "
443,4,   A K 9 6 4,   F ,"  Ace-High Flush			 "
